word,vowel
faite,ɛ
cachette,ɛ
cette,ɛ
fete,ɛ
lettre,ɛ
ete,e
journee,e
femme,a
papa,a
fils,i
tique,i
soeur,œ
veuve,œ
meunier,ø
queue,ø
impair,ɛ̃
parfum,ɛ̃
un,ɛ̃
vin,ɛ̃
peau,o
rideau,o
mechant,ɑ̃
temps,ɑ̃
pardon,ɔ̃
son,ɔ̃
porte,ɔ
sort,ɔ
roule,u
toujours,u
rue,y
tutu,y
