filename,vowel_start,vowel_end
FR-participant6_porte_FR444.wav,0.202,0.320
FR-participant6_queue_FR435.wav,0.112,0.233
FR-participant6_rideau_FR442.wav,0.348,0.490
FR-participant6_roule_FR441.wav,0.171,0.350
FR-participant6_soeur_FR437.wav,0.221,0.447
FR-participant6_son_FR45.wav,0.112,0.270
FR-participant6_sort_FR445.wav,0.138,0.371
FR-participant6_sœt.wav,0.172,0.291
FR-participant6_temps_FR47.wav,0.210,0.331
FR-participant6_tique_FR427.wav,0.107,0.208
FR-participant6_toujours_FR440.wav,0.219,0.297
FR-participant6_toujours_FR440.wav,0.435,0.584
FR-participant6_tutu_FR429.wav,0.200,0.248
FR-participant6_tutu_FR429.wav,0.438,0.565
FR-participant6_un_FR43.wav,0.065,0.212
FR-participant6_veuve_FR436.wav,0.129,0.381
FR-participant6_vin_FR447.wav,0.142,0.291
FR-participant7_cette_FR3009.wav,0.203,0.267
FR-participant7_ete_FR3007.wav,0.006,0.088
FR-participant7_ete_FR3007.wav,0.271,0.379
FR-participant7_faite_FR3010.wav,0.128,0.209
FR-participant7_femme_FR3016.wav,0.093,0.194
FR-participant7_impair_FR3023.wav,0.040,0.144
FR-participant7_journee_FR3008.wav,0.434,0.503
FR-participant7_mechant_FR3029.wav,0.346,0.395
FR-participant7_meunier_FR3011.wav,0.155,0.241
FR-participant7_papa_FR3015.wav,0.116,0.193
FR-participant7_papa_FR3015.wav,0.322,0.427
FR-participant7_pardon_FR3027.wav,0.310,0.403
FR-participant7_parfum_FR3025.wav,0.388,0.472
FR-participant7_peau_FR3020.wav,0.178,0.325
FR-participant7_porte_FR3021.wav,0.171,0.238
FR-participant7_queue_FR3012.wav,0.108,0.184
FR-participant7_rideau_FR3019.wav,0.301,0.393
FR-participant7_roule_FR3018.wav,0.079,0.192
FR-participant7_soeur_FR3014.wav,0.218,0.416
FR-participant7_søk.wav,0.138,0.276
FR-participant7_son_FR3028.wav,0.147,0.247
FR-participant7_sort_FR3022.wav,0.148,0.278
FR-participant7_sœk.wav,0.243,0.345
FR-participant7_temps_FR3030.wav,0.105,0.201
FR-participant7_tique_FR3004.wav,0.216,0.279
FR-participant7_toujours_FR3017.wav,0.150,0.219
FR-participant7_toujours_FR3017.wav,0.358,0.422
FR-participant7_toʃ.wav,0.100,0.215
FR-participant7_tutu_FR3006.wav,0.131,0.195
FR-participant7_tutu_FR3006.wav,0.390,0.492
FR-participant7_tɔt.wav,0.142,0.227
FR-participant7_tɛʃ.wav,0.191,0.303
FR-participant7_un_FR3026.wav,0.048,0.165
FR-participant7_veuve_FR3013.wav,0.186,0.317
FR-participant7_vin_FR3024.wav,0.134,0.231
FR-participant8_cette_FR4291.wav,0.263,0.421
FR-participant8_dɛs.wav,0.308,0.455
FR-participant8_ete_FR4289.wav,0.005,0.117
FR-participant8_ete_FR4289.wav,0.255,0.396
FR-participant8_faite_FR4292.wav,0.255,0.392
FR-participant8_femme_FR4298.wav,0.245,0.374
FR-participant8_fils_FR4287.wav,0.189,0.287
FR-participant8_impair_FR4548.wav,0.049,0.177
FR-participant8_journee_FR4290.wav,0.420,0.587
FR-participant8_mechant_FR4554.wav,0.426,0.547
FR-participant8_meunier_FR4293.wav,0.184,0.293
FR-participant8_papa_FR4297.wav,0.060,0.148
FR-participant8_papa_FR4297.wav,0.273,0.411
FR-participant8_pardon_FR4552.wav,0.312,0.402
FR-participant8_parfum_FR4550.wav,0.316,0.445
FR-participant8_peau_FR4545.wav,0.054,0.208
FR-participant8_porte_FR4546.wav,0.058,0.182
FR-participant8_queue_FR4294.wav,0.086,0.219
FR-participant8_rideau_FR4544.wav,0.420,0.516
FR-participant8_roule_FR4543.wav,0.221,0.411
FR-participant8_soeur_FR4296.wav,0.281,0.487
FR-participant8_son_FR4553.wav,0.300,0.396
FR-participant8_sort_FR4547.wav,0.247,0.353
FR-participant8_temps_FR4555.wav,0.063,0.185
FR-participant8_tique_FR4286.wav,0.099,0.162
FR-participant8_tot.wav,0.067,0.170
FR-participant8_toujours_FR4299.wav,0.082,0.174
FR-participant8_toujours_FR4299.wav,0.392,0.587
FR-participant8_tutu_FR4288.wav,0.091,0.148
FR-participant8_tutu_FR4288.wav,0.341,0.421
FR-participant8_un_FR4551.wav,0.026,0.158
FR-participant8_veuve_FR4295.wav,0.241,0.568
FR-participant8_vin_FR4549.wav,0.207,0.326
FR-participant9_cachette.wav,0.584,0.708
FR-participant9_cette.wav,0.358,0.470
FR-participant9_ete.wav,0.228,0.329
FR-participant9_ete.wav,0.480,0.583
FR-participant9_faitewav.wav,0.356,0.468
FR-participant9_femme.wav,0.397,0.553
FR-participant9_fils.wav,0.293,0.435
FR-participant9_impair.wav,0.047,0.158
FR-participant9_journee.wav,0.541,0.687
FR-participant9_lettre.wav,0.322,0.456
FR-participant9_mechant.wav,0.474,0.617
FR-participant9_meunier.wav,0.237,0.347
FR-participant9_papa.wav,0.227,0.305
FR-participant9_papa.wav,0.452,0.601
FR-participant9_pardon.wav,0.440,0.607
FR-participant9_peau.wav,0.187,0.337
FR-participant9_porte.wav,0.170,0.287
FR-participant9_queue.wav,0.190,0.335
FR-participant9_rideau.wav,0.533,0.696
FR-participant9_roule.wav,0.147,0.394
FR-participant9_rue.wav,0.321,0.482
FR-participant9_soeur.wav,0.394,0.588
FR-participant9_son.wav,0.323,0.447
FR-participant9_sort.wav,0.267,0.434
FR-participant9_temps.wav,0.241,0.338
FR-participant9_tique.wav,0.264,0.451
FR-participant9_toujours.wav,0.157,0.276
FR-participant9_toujours.wav,0.396,0.597
FR-participant9_tutu.wav,0.190,0.350
FR-participant9_tutu.wav,0.400,0.609
FR-participant9_veuve.wav,0.259,0.466
FR-participant9_vin.wav,0.254,0.387
