a,e,i,o,u,y,ø,œ,ɑ̃,ɔ,ɔ̃,ɛ,ɛ̃,filename
0.07407407407407407,0.1111111111111111,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.25925925925925924,0.037037037037037035,0.0,0.0,0.0,0.0,0.14814814814814814,0.037037037037037035,200_deux_cents
0.1111111111111111,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.037037037037037035,0.0,0.0,0.4444444444444444,hareng
0.037037037037037035,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.07407407407407407,0.48148148148148145,0.07407407407407407,0.0,0.0,FR2200
0.037037037037037035,0.0,0.0,0.25925925925925924,0.18518518518518517,0.0,0.0,0.0,0.0,0.3333333333333333,0.18518518518518517,0.0,0.0,GR236
0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.07407407407407407,0.18518518518518517,0.18518518518518517,0.037037037037037035,0.2222222222222222,EN2908
0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.0,0.0,0.037037037037037035,0.0,0.14814814814814814,0.18518518518518517,0.2222222222222222,EN2680
0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.3333333333333333,0.4074074074074074,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,FR3330
0.07407407407407407,0.0,0.0,0.07407407407407407,0.037037037037037035,0.0,0.0,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.18518518518518517,0.0,0.18518518518518517,FR1181
0.0,0.25925925925925924,0.5185185185185185,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jean
0.0,0.0,0.0,0.2222222222222222,0.037037037037037035,0.0,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.4074074074074074,0.14814814814814814,0.0,0.0,FR942
0.1111111111111111,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.0,0.14814814814814814,0.0,0.0,0.18518518518518517,0.07407407407407407,9_neuf
0.037037037037037035,0.14814814814814814,0.0,0.0,0.037037037037037035,0.3333333333333333,0.2962962962962963,0.037037037037037035,0.0,0.0,0.0,0.1111111111111111,0.0,GR492
0.037037037037037035,0.0,0.0,0.25925925925925924,0.14814814814814814,0.0,0.037037037037037035,0.0,0.037037037037037035,0.25925925925925924,0.2222222222222222,0.0,0.0,GR195
0.0,0.037037037037037035,0.14814814814814814,0.07407407407407407,0.18518518518518517,0.14814814814814814,0.1111111111111111,0.0,0.0,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.0,EN2496
