a,e,i,o,u,y,ø,œ,ɑ̃,ɔ,ɔ̃,ɛ,ɛ̃,filename
0.0,0.08163265306122448,0.6428571428571429,0.0,0.0,0.23469387755102042,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,200_deux_cents
0.02040816326530612,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.7959183673469388,0.0,0.0,0.0,0.17346938775510204,0.0,s_m107_xjxq
0.336734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.2755102040816326,0.0,0.14285714285714285,0.0,0.0,0.24489795918367346,s_f105_mxa
0.40816326530612246,0.0,0.0,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.15306122448979592,0.07142857142857142,0.0,0.0,0.30612244897959184,hareng
0.04081632653061224,0.08163265306122448,0.15306122448979592,0.030612244897959183,0.0,0.0,0.5714285714285714,0.0,0.030612244897959183,0.09183673469387756,0.0,0.0,0.0,s_m112_xixz
0.01020408163265306,0.0,0.0,0.14285714285714285,0.08163265306122448,0.0,0.0,0.0,0.11224489795918367,0.6530612244897959,0.0,0.0,0.0,FR2200
0.15306122448979592,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.3469387755102041,0.0,0.0,0.0,0.4489795918367347,0.0,s_f106_bxe
0.0,0.0,0.0,0.45918367346938777,0.1326530612244898,0.0,0.09183673469387756,0.0,0.0,0.3163265306122449,0.0,0.0,0.0,GR236
0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05102040816326531,0.5204081632653061,0.0,0.0,0.0,EN2908
0.0,0.0,0.20408163265306123,0.0,0.12244897959183673,0.24489795918367346,0.16326530612244897,0.0,0.01020408163265306,0.05102040816326531,0.0,0.0,0.20408163265306123,s_m118_xid
0.0,0.1836734693877551,0.7244897959183674,0.0,0.0,0.09183673469387756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s_m111_li
0.15306122448979592,0.10204081632653061,0.20408163265306123,0.0,0.04081632653061224,0.030612244897959183,0.0,0.0,0.17346938775510204,0.030612244897959183,0.0,0.14285714285714285,0.12244897959183673,EN2680
0.0,0.0,0.0,0.0,0.0,0.0,0.09183673469387756,0.3979591836734694,0.0,0.1326530612244898,0.30612244897959184,0.07142857142857142,0.0,FR3330
0.0,0.0,0.0,0.15306122448979592,0.17346938775510204,0.0,0.0,0.08163265306122448,0.0,0.45918367346938777,0.1326530612244898,0.0,0.0,FR1181
0.0,0.02040816326530612,0.9795918367346939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jean
0.01020408163265306,0.10204081632653061,0.7857142857142857,0.0,0.0,0.0,0.0,0.08163265306122448,0.0,0.02040816326530612,0.0,0.0,0.0,s_m120_xexc
0.0,0.7755102040816326,0.15306122448979592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,s_f105_ek
0.01020408163265306,0.0,0.0,0.0,0.0,0.030612244897959183,0.12244897959183673,0.0,0.15306122448979592,0.0,0.14285714285714285,0.02040816326530612,0.5204081632653061,s_m104_xun
0.29591836734693877,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.061224489795918366,0.0,s_m116_xze
0.0,0.0,0.0,0.061224489795918366,0.7448979591836735,0.0,0.0,0.0,0.0,0.19387755102040816,0.0,0.0,0.0,FR942
0.15306122448979592,0.15306122448979592,0.2755102040816326,0.0,0.10204081632653061,0.12244897959183673,0.0,0.0,0.04081632653061224,0.030612244897959183,0.0,0.12244897959183673,0.0,9_neuf
0.08163265306122448,0.0,0.0,0.0,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.15306122448979592,0.7346938775510204,s_f103_xin
0.0,0.02040816326530612,0.2857142857142857,0.0,0.0,0.6938775510204082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GR492
0.0,0.20408163265306123,0.0,0.0,0.0,0.04081632653061224,0.3877551020408163,0.336734693877551,0.02040816326530612,0.0,0.0,0.01020408163265306,0.0,s_f105_exz
0.0,0.0,0.0,0.336734693877551,0.11224489795918367,0.0,0.16326530612244897,0.0,0.04081632653061224,0.3469387755102041,0.0,0.0,0.0,GR195
0.09183673469387756,0.07142857142857142,0.15306122448979592,0.05102040816326531,0.061224489795918366,0.05102040816326531,0.32653061224489793,0.0,0.030612244897959183,0.14285714285714285,0.0,0.02040816326530612,0.0,s_f109_xis
0.0,0.14285714285714285,0.5204081632653061,0.0,0.061224489795918366,0.2755102040816326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s_m114_exc
0.01020408163265306,0.08163265306122448,0.02040816326530612,0.05102040816326531,0.10204081632653061,0.24489795918367346,0.15306122448979592,0.20408163265306123,0.05102040816326531,0.030612244897959183,0.05102040816326531,0.0,0.0,s_f106_ixc
0.0,0.04081632653061224,0.9489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,EN2496
0.01020408163265306,0.02040816326530612,0.05102040816326531,0.16326530612244897,0.5102040816326531,0.0,0.0,0.0,0.12244897959183673,0.09183673469387756,0.030612244897959183,0.0,0.0,miroir
0.5612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.40816326530612246,0.0,0.0,0.0,GLO50
0.0,0.5612244897959183,0.07142857142857142,0.0,0.0,0.0,0.22448979591836735,0.0,0.0,0.04081632653061224,0.0,0.10204081632653061,0.0,EN1353
0.0,0.0,0.0,0.0,0.25510204081632654,0.0,0.0,0.336734693877551,0.0,0.40816326530612246,0.0,0.0,0.0,s_m115_il
