filename,phone_label,start,end
FR-participant5_pardon_FR3815.wav,ɔ̃,0.34,0.41
FR-participant5_parfum_FR3511.wav,ɛ̃,0.37,0.46
FR-participant5_peau_FR3506.wav,o,0.16,0.3
FR-participant5_porte_FR3507.wav,ɔ,0.13,0.21
FR-participant5_queue_FR3498.wav,ø,0.14,0.33
FR-participant5_rideau_FR3505.wav,o,0.26,0.36
FR-participant5_roule_FR3504.wav,u,0.12,0.25
FR-participant5_soeur_FR3500.wav,œ,0.18,0.36
FR-participant5_son_FR3816.wav,ɔ̃,0.08,0.2
FR-participant5_sort_FR3508.wav,ɔ,0.07,0.22
FR-participant5_temps_FR3818.wav,ɑ̃,0.17,0.3
FR-participant5_tique_FR3490.wav,i,0.1,0.21
FR-participant5_toujours_FR3503.wav,u,0.14,0.22
FR-participant5_toujours_FR3503.wav,u,0.31,0.43
FR-participant5_tutu_FR3492.wav,y,0.14,0.23
FR-participant5_tutu_FR3492.wav,y,0.33,0.62
FR-participant5_un_FR3814.wav,ɛ̃,0.03,0.2
FR-participant5_veuve_FR3499.wav,œ,0.16,0.3
FR-participant5_vin_FR3510.wav,ɛ̃,0.14,0.27
FR-participant6_cette_FR432.wav,ɛ,0.2,0.29
FR-participant6_ete_FR430.wav,e,0.0,0.09
FR-participant6_ete_FR430.wav,e,0.28,0.42
FR-participant6_faite_FR433.wav,ɛ,0.19,0.3
FR-participant6_femme_FR439.wav,a,0.09,0.22
FR-participant6_fils_FR428.wav,i,0.22,0.34
FR-participant6_impair_FR446.wav,ɛ̃,0.03,0.16
FR-participant6_journee_FR431.wav,e,0.42,0.56
FR-participant6_mechant_FR46.wav,ɑ̃,0.39,0.53
FR-participant6_meunier_FR434.wav,ø,0.14,0.19
FR-participant6_papa_FR438.wav,a,0.16,0.24
FR-participant6_papa_FR438.wav,a,0.37,0.53
FR-participant6_pardon_FR44.wav,ɔ̃,0.43,0.59
FR-participant6_parfum_FR42.wav,ɛ̃,0.48,0.62
FR-participant6_peau_FR443.wav,o,0.22,0.4
FR-participant6_porte_FR444.wav,ɔ,0.19,0.3
FR-participant6_queue_FR435.wav,ø,0.11,0.27
FR-participant6_rideau_FR442.wav,o,0.35,0.5
FR-participant6_roule_FR441.wav,u,0.17,0.31
FR-participant6_soeur_FR437.wav,œ,0.22,0.42
FR-participant6_son_FR45.wav,ɔ̃,0.1,0.26
FR-participant6_sort_FR445.wav,ɔ,0.14,0.36
FR-participant6_temps_FR47.wav,ɑ̃,0.21,0.370063
FR-participant6_tique_FR427.wav,i,0.1,0.22
FR-participant6_toujours_FR440.wav,u,0.21,0.29
FR-participant6_toujours_FR440.wav,u,0.41,0.66
FR-participant6_tutu_FR429.wav,y,0.19,0.25
